[0.000000] (-) TimerEvent: {}
[0.000647] (-) JobUnselected: {'identifier': 'cift_sayi'}
[0.000730] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000875] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000973] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.001077] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.001127] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.001154] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.001180] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.001214] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.001241] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001292] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001324] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001351] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001378] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001404] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001430] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001457] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001484] (-) JobUnselected: {'identifier': 'first_package'}
[0.001510] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.001546] (-) JobUnselected: {'identifier': 'tti'}
[0.001574] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001602] (-) EventReactorShutdown: {}
